序号,样本点数据
587,1.938345516
588,1.937658344
589,1.938084338
590,1.939433315
591,1.940321935
592,1.936625032
593,1.939392939
594,1.932032357
595,1.926433023
596,1.935620326
597,1.93724057
598,1.937984034
599,1.937930458
600,1.937491188
601,1.937408082
602,1.936415098
603,1.937527833
604,1.936672847
605,1.936927047
606,1.937612728
607,1.940071012
608,1.937779506
609,1.937420883
610,1.937344478
611,1.937994392
612,1.937311757
613,1.937758218
614,1.93808653
615,1.937361785
616,1.93681683
617,1.934794426
618,1.936289644
619,1.935588712
620,1.934568152
621,1.934667151
622,1.93420336
623,1.93483821
624,1.935180068
625,1.937286371
626,1.937844229
627,1.938578209
628,1.937891702
629,1.936599914
630,1.937114175
631,1.936161524
632,1.937573567
633,1.9365344
634,1.936578144
635,1.937778628
636,1.93852918
637,1.936470502
638,1.937325434
639,1.937371653
640,1.938263473
641,1.938718141
642,1.934396947
643,1.935787084
644,1.933736759
645,1.930802249
646,1.929977763
647,1.930193699
648,1.932061711
649,1.932791621
650,1.935084301
651,1.93535503
652,1.933657367
653,1.934088836
654,1.93372617
655,1.934047871
656,1.934771741
657,1.933469876
658,1.933590359
659,1.934372611
660,1.933615928
661,1.934006651
662,1.934543692
663,1.933750833
664,1.933391614
665,1.933266717
666,1.932032454
667,1.93070436
668,1.92923542
669,1.932508671
670,1.925602539
671,1.925652775
672,1.926216619
673,1.92777584
674,1.928606176
675,1.930845048
676,1.931936876
677,1.931994584
678,1.931011088
679,1.931131156
680,1.930439525
681,1.930940755
682,1.930419202
683,1.930444718
684,1.929868005
685,1.930547732
686,1.92941696
687,1.929465948
688,1.929766919
689,1.929669831
690,1.92962944
691,1.927405537
692,1.925542971
693,1.923632268
694,1.923327971
695,1.925030646
696,1.924650313
697,1.917468921
698,1.925682406
699,1.925146406
700,1.928641014
701,1.928109207
702,1.927482066
703,1.92817921
704,1.928302742
705,1.927907315
706,1.927483176
707,1.928213257
708,1.92799096
709,1.928689107
710,1.928506047
711,1.928335057
712,1.927914334
713,1.928548657
714,1.927974884
715,1.927042415
716,1.924487189
717,1.926364092
718,1.922100438
719,1.919579554
720,1.921107825
721,1.921818944
722,1.921073554
723,1.924242416
724,1.925580626
725,1.926993628
726,1.926985936
727,1.927282808
728,1.927688068
729,1.927419251
730,1.927629225
731,1.927254201
732,1.927727321
733,1.927929824
734,1.927040271
735,1.928266093
736,1.92803174
737,1.928239283
738,1.928511546
739,1.927674143
740,1.927083405
741,1.928633302
742,1.925194066
743,1.921909155
744,1.919256725
745,1.918139516
746,1.922109496
747,1.920762538
748,1.924524463
749,1.92407999
750,1.9270262
751,1.927433787
752,1.927168154
753,1.927818856
754,1.92794224
755,1.927863455
756,1.928111739
757,1.927651964
758,1.927482083
759,1.928146012
760,1.928597284
761,1.928828472
762,1.927350538
763,1.928307099
764,1.928256403
765,1.928825597
766,1.924405938
767,1.924521193
768,1.922540711
769,1.922262303
770,1.920714415
771,1.913961428
772,1.915853313
773,1.920816625
774,1.923113965
775,1.925168165
776,1.925206688
777,1.92470744
778,1.925803296
779,1.925225929
780,1.925355748
781,1.924891519
782,1.925643919
783,1.92529803
784,1.92614692
785,1.927147835
786,1.92523359
787,1.926087146
788,1.925226611
789,1.925490369
790,1.92575709
791,1.926550953
792,1.920123221
793,1.915206834
794,1.923530827
795,1.912419965
796,1.919242063
797,1.923019541
798,1.921675579
799,1.921899783
800,1.923592648
801,1.92319544
802,1.92326541
803,1.923632701
804,1.923454231
805,1.923207406
806,1.923707636
807,1.923037326
808,1.923471722
809,1.923294447
810,1.92289462
811,1.923028332
812,1.922937829
813,1.923037928
814,1.923069963
815,1.922770819
816,1.921619702
817,1.921716391
818,1.921447379
819,1.921998137
820,1.917894321
821,1.92231251
822,1.921574969
823,1.921084833
824,1.92091574
825,1.921764143
826,1.921807521
827,1.922506555
828,1.921974564
829,1.921565371
830,1.921921065
831,1.921847323
832,1.922134265
833,1.92220854
834,1.921915828
835,1.923051689
836,1.921439859
837,1.921123293
838,1.920912547
